,variable,coef,abs_coef
33,log_saleprice,55520.17187284788,55520.17187284788
5,mas_vnr_area,7078.895702382362,7078.895702382362
34,total_sf,6509.2421495456065,6509.2421495456065
6,bsmtfin_sf_1,6165.400825080396,6165.400825080396
13,gr_liv_area,5363.4606822333235,5363.4606822333235
220,neighborhood_NridgHt,4824.108263803461,4824.108263803461
172,functional_Sal,3723.8664894777585,3723.8664894777585
226,neighborhood_StoneBr,3646.3864677813804,3646.3864677813804
337,year_built_2008,3571.0675230254515,3571.0675230254515
150,bsmtfin_type_1_None,3092.3311568581726,3092.3311568581726
38,ms_subclass_30,2874.2552083551705,2874.2552083551705
417,garage_yr_blt_1928.0,2668.987993938676,2668.987993938676
219,neighborhood_NoRidge,2596.6960453931133,2596.6960453931133
163,central_air_Y,-2206.070445372118,2206.070445372118
18,bedroom_abvgr,-2077.4874941252824,2077.4874941252824
496,garage_yr_blt_2009.0,1963.7012962713354,1963.7012962713354
152,bsmtfin_type_1_Unf,1939.9273406626041,1939.9273406626041
23,garage_area,1915.718178267826,1915.718178267826
115,exterior_1st_CemntBd,1779.04094443892,1779.04094443892
199,sale_type_New,1741.9498715423574,1741.9498715423574
335,year_built_2006,1571.5202262030414,1571.5202262030414
65,land_contour_HLS,1563.8581229020958,1563.8581229020958
86,condition_2_PosA,1525.518976970682,1525.518976970682
70,lot_config_CulDSac,1522.869135408687,1522.869135408687
102,roof_style_Gable,-1497.469052945962,1497.469052945962
139,mas_vnr_type_BrkFace,-1463.6766087809183,1463.6766087809183
412,garage_yr_blt_1923.0,-1378.9210912513606,1378.9210912513606
182,garage_finish_RFn,-1328.9352211058576,1328.9352211058576
255,year_built_1923,1287.5771765143174,1287.5771765143174
185,paved_drive_Y,-1255.9107532567043,1255.9107532567043
3,overall_qual,1250.7251247404495,1250.7251247404495
48,ms_subclass_120,-1241.694503128836,1241.694503128836
140,mas_vnr_type_None,1230.4820614270657,1230.4820614270657
148,bsmtfin_type_1_GLQ,1224.1688171519236,1224.1688171519236
87,condition_2_PosN,1217.5166009843183,1217.5166009843183
2,lot_area,1215.5036959672327,1215.5036959672327
174,functional_Typ,1174.5508532326944,1174.5508532326944
7,bsmtfin_sf_2,1158.2836765397922,1158.2836765397922
28,screen_porch,1116.5960527769714,1116.5960527769714
94,bldg_type_TwnhsE,-1082.8798827575558,1082.8798827575558
399,year_remod/add_2010,1080.5782733941728,1080.5782733941728
218,neighborhood_NWAmes,-1072.0041810082962,1072.0041810082962
1,lot_frontage,1032.7880031651166,1032.7880031651166
177,garage_type_BuiltIn,998.4607599474684,998.4607599474684
168,functional_Maj2,914.6579697121058,914.6579697121058
19,kitchen_abvgr,-897.5150752116718,897.5150752116718
116,exterior_1st_HdBoard,-880.306000407419,880.306000407419
216,neighborhood_NAmes,-859.9173475380135,859.9173475380135
47,ms_subclass_90,-856.398653116932,856.398653116932
492,garage_yr_blt_2005.0,827.7969744673164,827.7969744673164
499,garage_yr_blt_None,815.9373301594378,815.9373301594378
160,heating_Grav,786.7491192872203,786.7491192872203
52,ms_subclass_190,-778.1484193612882,778.1484193612882
260,year_built_1928,-777.971641503297,777.971641503297
341,year_remod/add_1952,655.1211757926206,655.1211757926206
402,garage_yr_blt_1910.0,-654.939178894081,654.939178894081
133,exterior_2nd_Plywood,-648.1186784625568,648.1186784625568
154,bsmtfin_type_2_GLQ,640.4997703165868,640.4997703165868
201,sale_type_WD ,-619.8929692190233,619.8929692190233
180,garage_type_None,598.1066956253437,598.1066956253437
490,garage_yr_blt_2003.0,596.8769861528361,596.8769861528361
275,year_built_1946,580.3750847253368,580.3750847253368
359,year_remod/add_1970,569.0096917647259,569.0096917647259
162,heating_Wall,564.3266578121239,564.3266578121239
328,year_built_1999,-509.1539183031355,509.1539183031355
236,year_built_1896,508.49339106921104,508.49339106921104
159,heating_GasW,-496.01231991211426,496.01231991211426
60,alley_None,493.4074832107538,493.4074832107538
74,land_slope_Mod,487.3665864435779,487.3665864435779
123,exterior_1st_Wd Sdng,-485.76639312605533,485.76639312605533
254,year_built_1922,468.5861648718446,468.5861648718446
113,exterior_1st_BrkFace,439.79788474444786,439.79788474444786
108,roof_matl_Tar&Grv,-405.3293099804708,405.3293099804708
205,neighborhood_ClearCr,-391.6482396400964,391.6482396400964
79,condition_1_PosN,387.4756622758016,387.4756622758016
423,garage_yr_blt_1934.0,381.46343368019,381.46343368019
485,garage_yr_blt_1998.0,-374.7103089562095,374.7103089562095
184,paved_drive_P,-366.59054734957465,366.59054734957465
228,neighborhood_Veenker,364.939226839683,364.939226839683
0,pid,-362.0299420322024,362.0299420322024
270,year_built_1939,361.05073556681333,361.05073556681333
344,year_remod/add_1955,357.5072028015844,357.5072028015844
68,utilities_NoSeWa,-353.6310383243234,353.6310383243234
75,land_slope_Sev,-333.2161750053195,333.2161750053195
211,neighborhood_GrnHill,322.93917647053877,322.93917647053877
61,alley_Pave,-316.2967243511379,316.2967243511379
330,year_built_2001,314.7360995230233,314.7360995230233
243,year_built_1911,-305.6859385581987,305.6859385581987
44,ms_subclass_75,-304.6884220526399,304.6884220526399
53,ms_zoning_C (all),302.45029025921036,302.45029025921036
286,year_built_1957,-295.5895297349132,295.5895297349132
301,year_built_1972,292.6935214097543,292.6935214097543
290,year_built_1961,-292.0159227767997,292.0159227767997
497,garage_yr_blt_2010.0,-271.8675871206563,271.8675871206563
59,street_Pave,-265.2515845103404,265.2515845103404
175,garage_type_Attchd,-263.95770444679397,263.95770444679397
343,year_remod/add_1954,259.502693716695,259.502693716695
42,ms_subclass_60,256.03953420634036,256.03953420634036
151,bsmtfin_type_1_Rec,-247.7903677290567,247.7903677290567
379,year_remod/add_1990,-234.2106246410957,234.2106246410957
12,low_qual_fin_sf,-232.09692324065756,232.09692324065756
326,year_built_1997,-227.43799014260142,227.43799014260142
186,fence_GdWo,225.15103034238774,225.15103034238774
20,totrms_abvgrd,224.3201445719973,224.3201445719973
464,garage_yr_blt_1977.0,-217.2857068194317,217.2857068194317
272,year_built_1941,213.94215312953654,213.94215312953654
95,house_style_1.5Unf,210.32232605564252,210.32232605564252
157,bsmtfin_type_2_Rec,-207.7254904656402,207.7254904656402
57,ms_zoning_RL,-205.58855575799868,205.58855575799868
387,year_remod/add_1998,-197.97928622695267,197.97928622695267
442,garage_yr_blt_1955.0,-195.601890038105,195.601890038105
155,bsmtfin_type_2_LwQ,-192.34347315095127,192.34347315095127
31,mo_sold,-186.21950424446456,186.21950424446456
209,neighborhood_Gilbert,-180.2696208142685,180.2696208142685
403,garage_yr_blt_1914.0,-178.85241733732937,178.85241733732937
76,condition_1_Feedr,-177.33747898596005,177.33747898596005
195,sale_type_Con,170.1867154096733,170.1867154096733
316,year_built_1987,-163.8288903107097,163.8288903107097
452,garage_yr_blt_1965.0,159.2407749309046,159.2407749309046
73,lot_config_Inside,154.9052898946459,154.9052898946459
167,electrical_SBrkr,-154.62650888879412,154.62650888879412
121,exterior_1st_Stucco,-154.27273635236094,154.27273635236094
388,year_remod/add_1999,-146.29829702376017,146.29829702376017
16,full_bath,-143.32550462362082,143.32550462362082
217,neighborhood_NPkVill,142.1108400201922,142.1108400201922
97,house_style_2.5Fin,-131.226910014946,131.226910014946
63,lot_shape_IR3,-129.28690997374161,129.28690997374161
105,roof_style_Mansard,118.78826444155068,118.78826444155068
277,year_built_1948,-115.9921386028421,115.9921386028421
82,condition_1_RRNe,-108.23758782106766,108.23758782106766
377,year_remod/add_1988,-101.36154504374434,101.36154504374434
164,electrical_FuseF,100.04322539664646,100.04322539664646
161,heating_OthW,-91.07881726101401,91.07881726101401
436,garage_yr_blt_1949.0,-86.53067668466903,86.53067668466903
77,condition_1_Norm,84.80800868718033,84.80800868718033
349,year_remod/add_1960,-80.68848730394909,80.68848730394909
363,year_remod/add_1974,-75.22320793063875,75.22320793063875
215,neighborhood_Mitchel,-72.50760077351738,72.50760077351738
256,year_built_1924,-71.32785777683354,71.32785777683354
483,garage_yr_blt_1996.0,-67.58512920079129,67.58512920079129
430,garage_yr_blt_1941.0,65.15146853070254,65.15146853070254
